ID_OFERTA,NUM_RESERVAS,ID_HOSTAL,ID_HOTEL,ID_VIVIENDAU,ID_PERSONA,VIGENTE
271,0,,NULL,NULL,365,NULL,F
272,0,,4,NULL,NULL,NULL,F
273,0,,50,NULL,NULL,NULL,T
274,0,,NULL,NULL,363,NULL,T
275,0,,NULL,NULL,NULL,,123F
276,0,,NULL,NULL,245,NULL,F
277,0,,40,NULL,NULL,NULL,T
278,0,,50,NULL,NULL,NULL,F
279,0,,NULL,NULL,NULL,,244F
280,0,,NULL,NULL,NULL,,50F
281,0,,38,NULL,NULL,NULL,F
282,0,,28,NULL,NULL,NULL,F
283,0,T
284,0,,NULL,3,NULL,NULL,F
285,0,,NULL,44,NULL,NULL,F
286,0,,NULL,NULL,101,NULL,F
287,0,,9,NULL,NULL,NULL,T
288,0,,22,NULL,NULL,NULL,T
289,0,,NULL,33,NULL,NULL,F
290,0,,37,NULL,NULL,NULL,T
291,0,,NULL,5,NULL,NULL,F
292,0,F
293,0,,NULL,NULL,199,NULL,T
294,0,,5,NULL,NULL,NULL,F
295,0,,79,NULL,NULL,NULL,F
296,0,,NULL,NULL,NULL,,134F
297,0,,NULL,47,NULL,NULL,F
298,0,,NULL,NULL,383,NULL,F
299,0,,73,NULL,NULL,NULL,F
300,0,,NULL,NULL,264,NULL,F
301,0,,44,NULL,NULL,NULL,F
302,0,,NULL,NULL,302,NULL,T
303,0,,4,NULL,NULL,NULL,F
304,0,,41,NULL,NULL,NULL,F
305,0,,45,NULL,NULL,NULL,F
306,0,,5,NULL,NULL,NULL,T
307,0,,2,NULL,NULL,NULL,F
308,0,,38,NULL,NULL,NULL,F
309,0,,73,NULL,NULL,NULL,F
310,0,,29,NULL,NULL,NULL,T
311,0,,60,NULL,NULL,NULL,F
312,0,,11,NULL,NULL,NULL,T
313,0,,70,NULL,NULL,NULL,T
314,0,,59,NULL,NULL,NULL,T
315,0,,18,NULL,NULL,NULL,T
316,0,,NULL,46,NULL,NULL,F
317,0,,80,NULL,NULL,NULL,F
318,0,,NULL,35,NULL,NULL,F
319,0,,NULL,56,NULL,NULL,T
320,0,F
321,0,,NULL,NULL,364,NULL,F
322,0,,37,NULL,NULL,NULL,F
323,0,,NULL,NULL,238,NULL,F
324,0,,NULL,NULL,NULL,,381T
325,0,,NULL,NULL,355,NULL,T
326,0,,10,NULL,NULL,NULL,T
327,0,,NULL,NULL,40,NULL,T
328,0,,NULL,NULL,62,NULL,T
329,0,,NULL,2,NULL,NULL,T
330,0,,NULL,NULL,NULL,,18F
331,0,,13,NULL,NULL,NULL,T
332,0,,46,NULL,NULL,NULL,T
333,0,,76,NULL,NULL,NULL,T
334,0,,77,NULL,NULL,NULL,F
335,0,,63,NULL,NULL,NULL,F
336,0,,50,NULL,NULL,NULL,F
337,0,,41,NULL,NULL,NULL,F
338,0,,NULL,41,NULL,NULL,T
339,0,,65,NULL,NULL,NULL,T
340,0,,42,NULL,NULL,NULL,F
341,0,,8,NULL,NULL,NULL,F
342,0,,26,NULL,NULL,NULL,F
343,0,,2,NULL,NULL,NULL,T
344,0,,68,NULL,NULL,NULL,T
345,0,,NULL,49,NULL,NULL,F
346,0,T
347,0,,64,NULL,NULL,NULL,T
348,0,,NULL,NULL,123,NULL,F
349,0,,NULL,36,NULL,NULL,T
350,0,,75,NULL,NULL,NULL,F
351,0,,NULL,NULL,NULL,,351F
352,0,,NULL,3,NULL,NULL,T
353,0,,68,NULL,NULL,NULL,F
354,0,,NULL,16,NULL,NULL,F
355,0,,52,NULL,NULL,NULL,T
356,0,,NULL,NULL,23,NULL,T
357,0,,10,NULL,NULL,NULL,T
358,0,,NULL,8,NULL,NULL,T
359,0,,56,NULL,NULL,NULL,T
360,0,,NULL,35,NULL,NULL,T
361,0,,NULL,14,NULL,NULL,F
362,0,,NULL,31,NULL,NULL,F
363,0,,16,NULL,NULL,NULL,T
364,0,,49,NULL,NULL,NULL,F
365,0,,21,NULL,NULL,NULL,F
366,0,,50,NULL,NULL,NULL,T
367,0,,65,NULL,NULL,NULL,F
368,0,,62,NULL,NULL,NULL,T
369,0,,NULL,50,NULL,NULL,T
370,0,,7,NULL,NULL,NULL,T
371,0,,39,NULL,NULL,NULL,F
372,0,,44,NULL,NULL,NULL,F
373,0,,NULL,NULL,118,NULL,F
374,0,,NULL,50,NULL,NULL,F
375,0,,NULL,40,NULL,NULL,F
376,0,,NULL,NULL,NULL,,57F
377,0,,NULL,56,NULL,NULL,T
378,0,,80,NULL,NULL,NULL,F
379,0,,40,NULL,NULL,NULL,T
380,0,,NULL,18,NULL,NULL,T
381,0,,NULL,10,NULL,NULL,F
382,0,,1,NULL,NULL,NULL,F
383,0,,64,NULL,NULL,NULL,T
384,0,,47,NULL,NULL,NULL,T
385,0,F
386,0,,NULL,1,NULL,NULL,T
387,0,,33,NULL,NULL,NULL,F
388,0,,NULL,19,NULL,NULL,F
389,0,,40,NULL,NULL,NULL,T
390,0,,41,NULL,NULL,NULL,F
391,0,T
392,0,,26,NULL,NULL,NULL,T
393,0,,NULL,47,NULL,NULL,T
394,0,,11,NULL,NULL,NULL,F
395,0,,NULL,10,NULL,NULL,T
396,0,,NULL,9,NULL,NULL,T
397,0,,50,NULL,NULL,NULL,F
398,0,,NULL,NULL,NULL,,149T
399,0,,72,NULL,NULL,NULL,F
400,0,,48,NULL,NULL,NULL,T
401,0,,NULL,NULL,NULL,,278T
402,0,,NULL,NULL,NULL,,330F
403,0,,NULL,51,NULL,NULL,T
404,0,,29,NULL,NULL,NULL,F
405,0,,50,NULL,NULL,NULL,F
406,0,,75,NULL,NULL,NULL,F
407,0,,65,NULL,NULL,NULL,T
408,0,,NULL,23,NULL,NULL,F
409,0,T
410,0,,NULL,56,NULL,NULL,F
411,0,,20,NULL,NULL,NULL,T
412,0,,NULL,53,NULL,NULL,T
413,0,F
414,0,,NULL,42,NULL,NULL,F
415,0,,NULL,NULL,77,NULL,F
416,0,,12,NULL,NULL,NULL,T
417,0,,80,NULL,NULL,NULL,T
418,0,,NULL,6,NULL,NULL,T
419,0,T
420,0,,NULL,58,NULL,NULL,T
421,0,,19,NULL,NULL,NULL,T
422,0,,36,NULL,NULL,NULL,F
423,0,,52,NULL,NULL,NULL,T
424,0,,31,NULL,NULL,NULL,T
425,0,,44,NULL,NULL,NULL,F
426,0,,NULL,NULL,20,NULL,F
427,0,,64,NULL,NULL,NULL,T
428,0,,NULL,NULL,200,NULL,T
429,0,,NULL,10,NULL,NULL,T
430,0,,NULL,NULL,235,NULL,T
431,0,,NULL,NULL,350,NULL,T
432,0,,NULL,NULL,208,NULL,T
433,0,,NULL,21,NULL,NULL,F
434,0,,5,NULL,NULL,NULL,F
435,0,,49,NULL,NULL,NULL,F
436,0,,0,NULL,NULL,NULL,T
437,0,,65,NULL,NULL,NULL,T
438,0,,NULL,NULL,184,NULL,T
439,0,,6,NULL,NULL,NULL,T
440,0,,57,NULL,NULL,NULL,T
441,0,,NULL,NULL,268,NULL,F
442,0,,77,NULL,NULL,NULL,F
443,0,,NULL,28,NULL,NULL,F
444,0,,NULL,33,NULL,NULL,T
445,0,,NULL,NULL,335,NULL,F
446,0,,34,NULL,NULL,NULL,T
447,0,,NULL,40,NULL,NULL,T
448,0,,NULL,36,NULL,NULL,F
449,0,,NULL,44,NULL,NULL,F
450,0,,77,NULL,NULL,NULL,F
451,0,,50,NULL,NULL,NULL,F
452,0,,72,NULL,NULL,NULL,F
453,0,,0,NULL,NULL,NULL,T
454,0,,NULL,NULL,NULL,,160F
455,0,,3,NULL,NULL,NULL,T
456,0,,NULL,1,NULL,NULL,F
457,0,,NULL,44,NULL,NULL,F
458,0,,NULL,7,NULL,NULL,F
459,0,,NULL,NULL,33,NULL,T
460,0,,41,NULL,NULL,NULL,T
461,0,,NULL,NULL,36,NULL,T
462,0,,NULL,NULL,90,NULL,F
463,0,,74,NULL,NULL,NULL,F
464,0,,NULL,NULL,75,NULL,F
465,0,,NULL,39,NULL,NULL,F
466,0,,NULL,NULL,362,NULL,T
467,0,T
468,0,T
469,0,,NULL,NULL,101,NULL,T
470,0,F
471,0,,NULL,11,NULL,NULL,T
472,0,,27,NULL,NULL,NULL,F
473,0,,69,NULL,NULL,NULL,F
474,0,,19,NULL,NULL,NULL,F
475,0,,21,NULL,NULL,NULL,T
476,0,,NULL,NULL,108,NULL,F
477,0,,66,NULL,NULL,NULL,T
478,0,,66,NULL,NULL,NULL,F
479,0,,NULL,27,NULL,NULL,T
480,0,,40,NULL,NULL,NULL,F
481,0,,71,NULL,NULL,NULL,F
482,0,,73,NULL,NULL,NULL,T
483,0,,NULL,NULL,NULL,,307F
484,0,,NULL,NULL,NULL,,161F
485,0,,23,NULL,NULL,NULL,T
486,0,,NULL,NULL,371,NULL,F
487,0,,64,NULL,NULL,NULL,F
488,0,,NULL,NULL,NULL,,345F
489,0,,52,NULL,NULL,NULL,T
490,0,,NULL,NULL,NULL,,96F
491,0,,NULL,NULL,NULL,,349F
492,0,,61,NULL,NULL,NULL,T
493,0,,NULL,27,NULL,NULL,F
494,0,,NULL,22,NULL,NULL,T
495,0,,37,NULL,NULL,NULL,T
496,0,,10,NULL,NULL,NULL,T
497,0,,NULL,47,NULL,NULL,T
498,0,,39,NULL,NULL,NULL,F
499,0,,73,NULL,NULL,NULL,T
500,0,,NULL,3,NULL,NULL,F
501,0,,33,NULL,NULL,NULL,T
502,0,,64,NULL,NULL,NULL,T
503,0,,47,NULL,NULL,NULL,T
504,0,,NULL,NULL,231,NULL,T
505,0,,NULL,NULL,252,NULL,F
506,0,,18,NULL,NULL,NULL,F
507,0,,16,NULL,NULL,NULL,T
508,0,,NULL,42,NULL,NULL,F
509,0,,76,NULL,NULL,NULL,F
510,0,,7,NULL,NULL,NULL,T
511,0,,NULL,28,NULL,NULL,T
512,0,,59,NULL,NULL,NULL,F
513,0,,69,NULL,NULL,NULL,F
514,0,,80,NULL,NULL,NULL,T
515,0,,NULL,NULL,NULL,,251F
516,0,,NULL,44,NULL,NULL,F
517,0,,49,NULL,NULL,NULL,T
518,0,,NULL,3,NULL,NULL,T
519,0,,58,NULL,NULL,NULL,T
520,0,,51,NULL,NULL,NULL,T
521,0,,64,NULL,NULL,NULL,F
522,0,,52,NULL,NULL,NULL,F
523,0,,NULL,13,NULL,NULL,F
524,0,F
525,0,,66,NULL,NULL,NULL,F
526,0,,79,NULL,NULL,NULL,T
527,0,,57,NULL,NULL,NULL,T
528,0,,NULL,41,NULL,NULL,F
529,0,,41,NULL,NULL,NULL,F
530,0,,49,NULL,NULL,NULL,F
531,0,,NULL,NULL,NULL,,267F
532,0,,NULL,NULL,200,NULL,F
533,0,,NULL,NULL,168,NULL,T
534,0,,NULL,45,NULL,NULL,F
535,0,,23,NULL,NULL,NULL,F
536,0,,NULL,53,NULL,NULL,T
537,0,,28,NULL,NULL,NULL,T
538,0,,33,NULL,NULL,NULL,T
539,0,,39,NULL,NULL,NULL,F
540,0,,80,NULL,NULL,NULL,F
541,0,,NULL,38,NULL,NULL,F
542,0,,NULL,57,NULL,NULL,F
543,0,,NULL,31,NULL,NULL,T
544,0,,NULL,48,NULL,NULL,F
545,0,,72,NULL,NULL,NULL,T
546,0,,NULL,NULL,250,NULL,F
547,0,,NULL,29,NULL,NULL,T
548,0,,19,NULL,NULL,NULL,F
549,0,,NULL,33,NULL,NULL,F
550,0,,NULL,58,NULL,NULL,T
551,0,,9,NULL,NULL,NULL,F
552,0,,26,NULL,NULL,NULL,T
553,0,,57,NULL,NULL,NULL,T
554,0,,NULL,NULL,287,NULL,F
555,0,,25,NULL,NULL,NULL,F
556,0,,69,NULL,NULL,NULL,T
557,0,,11,NULL,NULL,NULL,F
558,0,,2,NULL,NULL,NULL,T
559,0,,57,NULL,NULL,NULL,T
560,0,,NULL,NULL,181,NULL,F
561,0,,35,NULL,NULL,NULL,T
562,0,T
563,0,,NULL,16,NULL,NULL,F
564,0,,8,NULL,NULL,NULL,F
565,0,,12,NULL,NULL,NULL,T
566,0,,76,NULL,NULL,NULL,T
567,0,,18,NULL,NULL,NULL,F
568,0,,NULL,NULL,NULL,,191F
569,0,,18,NULL,NULL,NULL,T
570,0,,71,NULL,NULL,NULL,F
571,0,,42,NULL,NULL,NULL,T
572,0,,NULL,5,NULL,NULL,T
573,0,,38,NULL,NULL,NULL,T
574,0,,43,NULL,NULL,NULL,T
575,0,F
576,0,,52,NULL,NULL,NULL,T
577,0,,NULL,NULL,278,NULL,T
578,0,,NULL,49,NULL,NULL,T
579,0,,NULL,NULL,165,NULL,F
580,0,,NULL,35,NULL,NULL,T
581,0,,NULL,41,NULL,NULL,F
582,0,,67,NULL,NULL,NULL,F
583,0,T
584,0,,NULL,NULL,375,NULL,F
585,0,F
586,0,,NULL,20,NULL,NULL,F
587,0,,NULL,46,NULL,NULL,F
588,0,,NULL,NULL,327,NULL,F
589,0,,52,NULL,NULL,NULL,F
590,0,,NULL,30,NULL,NULL,F
591,0,,9,NULL,NULL,NULL,F
592,0,,48,NULL,NULL,NULL,F
593,0,,39,NULL,NULL,NULL,F
594,0,,30,NULL,NULL,NULL,T
595,0,,NULL,NULL,61,NULL,T
596,0,,0,NULL,NULL,NULL,F
597,0,,34,NULL,NULL,NULL,T
598,0,,NULL,NULL,NULL,,263T
599,0,,55,NULL,NULL,NULL,T
600,0,,51,NULL,NULL,NULL,F
601,0,,NULL,NULL,142,NULL,F
602,0,,NULL,NULL,322,NULL,F
603,0,,6,NULL,NULL,NULL,F
604,0,,NULL,NULL,233,NULL,T
605,0,,NULL,13,NULL,NULL,T
606,0,,NULL,25,NULL,NULL,F
607,0,,29,NULL,NULL,NULL,T
608,0,,8,NULL,NULL,NULL,T
609,0,,51,NULL,NULL,NULL,F
610,0,,77,NULL,NULL,NULL,F
611,0,,16,NULL,NULL,NULL,T
612,0,,NULL,NULL,243,NULL,T
613,0,,NULL,NULL,73,NULL,F
614,0,T
615,0,,NULL,NULL,NULL,,283T
616,0,,11,NULL,NULL,NULL,T
617,0,,51,NULL,NULL,NULL,F
618,0,,NULL,53,NULL,NULL,T
619,0,T
620,0,,NULL,50,NULL,NULL,F
621,0,,14,NULL,NULL,NULL,F
622,0,,46,NULL,NULL,NULL,T
623,0,,NULL,42,NULL,NULL,T
624,0,,77,NULL,NULL,NULL,F
625,0,,71,NULL,NULL,NULL,F
626,0,,65,NULL,NULL,NULL,F
627,0,,NULL,9,NULL,NULL,F
628,0,,20,NULL,NULL,NULL,T
629,0,,NULL,22,NULL,NULL,T
630,0,,7,NULL,NULL,NULL,F
631,0,F
632,0,,30,NULL,NULL,NULL,F
633,0,,NULL,NULL,221,NULL,F
634,0,,2,NULL,NULL,NULL,T
635,0,,NULL,5,NULL,NULL,F
636,0,,15,NULL,NULL,NULL,T
637,0,,30,NULL,NULL,NULL,T
638,0,,NULL,NULL,NULL,,266T
639,0,,NULL,47,NULL,NULL,T
640,0,,NULL,41,NULL,NULL,F
641,0,,NULL,NULL,NULL,,286T
642,0,,NULL,54,NULL,NULL,F
643,0,,NULL,22,NULL,NULL,F
644,0,,NULL,NULL,NULL,,66F
645,0,,46,NULL,NULL,NULL,T
646,0,,NULL,NULL,NULL,,33T
647,0,,NULL,54,NULL,NULL,T
648,0,,6,NULL,NULL,NULL,T
649,0,,50,NULL,NULL,NULL,F
650,0,,NULL,NULL,NULL,,338T
651,0,,73,NULL,NULL,NULL,T
652,0,,NULL,17,NULL,NULL,F
653,0,,NULL,49,NULL,NULL,F
654,0,T
655,0,,12,NULL,NULL,NULL,T
656,0,,70,NULL,NULL,NULL,F
657,0,,NULL,1,NULL,NULL,T
658,0,,NULL,60,NULL,NULL,T
659,0,,NULL,18,NULL,NULL,F
660,0,,64,NULL,NULL,NULL,F
661,0,,35,NULL,NULL,NULL,F
662,0,,NULL,NULL,NULL,,262T
663,0,,63,NULL,NULL,NULL,T
664,0,,28,NULL,NULL,NULL,T
665,0,,NULL,24,NULL,NULL,T
666,0,,NULL,24,NULL,NULL,F
667,0,,54,NULL,NULL,NULL,T
668,0,,NULL,17,NULL,NULL,T
669,0,,8,NULL,NULL,NULL,F
670,0,,NULL,5,NULL,NULL,T
671,0,F
672,0,,NULL,NULL,228,NULL,T
673,0,,NULL,40,NULL,NULL,T
674,0,,NULL,49,NULL,NULL,F
675,0,,20,NULL,NULL,NULL,F
676,0,,69,NULL,NULL,NULL,F
677,0,,NULL,NULL,139,NULL,T
678,0,T
679,0,,37,NULL,NULL,NULL,F
680,0,,NULL,44,NULL,NULL,F
681,0,,36,NULL,NULL,NULL,F
682,0,,29,NULL,NULL,NULL,F
683,0,,66,NULL,NULL,NULL,T
684,0,,0,NULL,NULL,NULL,T
685,0,,9,NULL,NULL,NULL,T
686,0,,23,NULL,NULL,NULL,T
687,0,,62,NULL,NULL,NULL,F
688,0,,NULL,45,NULL,NULL,T
689,0,F
690,0,,13,NULL,NULL,NULL,T
