ID_VIVIENDA,CARACTERISTICAS_SEGURO,CARACTERISTICAS_VIVIENDA,PRECIO_VIVIENDA,ID_VECINO,CAPACIDAD,UBICACION,TIEMPO_USO,
455,COVERTURA PARCIAL,GRANDE,109799,455,15,NORTE,23,
456,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,479470,456,16,NORTE,34,
457,COVERTURA TOTAL,COLONIAL,389373,457,16,SUR,25,
458,COVERTURA PARCIAL,VISTA A LA MONTAÑA,134455,458,17,NORTE,40,
459,COVERTURA TOTAL,ESPACIOS AMPLIOS,645993,459,2,ESTE,32,
460,COVERTURA TOTAL,ESPACIOS AMPLIOS,249289,460,15,ESTE,32,
461,COVERTURA TOTAL,ACABADOS EN MADERA,546633,461,12,SUR,35,
462,COVERTURA TOTAL,ACABADOS EN MADERA,146111,462,18,SUR,39,
463,COVERTURA PARCIAL,VISTA A LA MONTAÑA,670780,463,10,OESTE,14,
464,COVERTURA PARCIAL,ACABADOS EN MADERA,514478,464,4,SUR,49,
465,COVERTURA PARCIAL,VISTA A LA MONTAÑA,559066,465,17,OESTE,32,
466,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,290358,466,2,ESTE,39,
467,COVERTURA TOTAL,ACABADOS EN MADERA,184322,467,7,NORTE,44,
468,COVERTURA PARCIAL,GRANDE,226234,468,1,ESTE,10,
469,COVERTURA TOTAL,GRANDE,607912,469,9,OESTE,26,
470,COVERTURA PARCIAL,ESPACIOS AMPLIOS,634638,470,4,ESTE,25,
471,COVERTURA PARCIAL,GRANDE,170511,471,13,NORTE,3,
472,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,526530,472,2,NORTE,21,
473,COVERTURA PARCIAL,COLONIAL,160921,473,18,NORTE,34,
474,COVERTURA TOTAL,GRANDE,498454,474,14,ESTE,1,
475,COVERTURA PARCIAL,ESPACIOS AMPLIOS,428639,475,11,ESTE,35,
476,COVERTURA TOTAL,ESPACIOS AMPLIOS,351815,476,11,NORTE,42,
477,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,110524,477,9,SUR,5,
478,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,658235,478,1,OESTE,11,
479,COVERTURA PARCIAL,GRANDE,551146,479,2,ESTE,28,
480,COVERTURA TOTAL,GRANDE,371265,480,17,OESTE,15,
481,COVERTURA PARCIAL,ESPACIOS AMPLIOS,582774,481,6,ESTE,16,
482,COVERTURA PARCIAL,COLONIAL,530085,482,8,ESTE,14,
483,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,321820,483,17,NORTE,38,
484,COVERTURA PARCIAL,COLONIAL,533775,484,8,ESTE,23,
485,COVERTURA TOTAL,GRANDE,374984,485,4,ESTE,47,
486,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,358195,486,4,OESTE,1,
487,COVERTURA TOTAL,GRANDE,166697,487,15,ESTE,49,
488,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,323648,488,11,OESTE,14,
489,COVERTURA TOTAL,ACABADOS EN MADERA,493808,489,9,SUR,49,
490,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,634843,490,10,OESTE,11,
491,COVERTURA PARCIAL,ACABADOS EN MADERA,592644,491,2,ESTE,21,
492,COVERTURA PARCIAL,ESPACIOS AMPLIOS,550409,492,3,SUR,47,
493,COVERTURA TOTAL,ACABADOS EN MADERA,303093,493,9,SUR,8,
494,COVERTURA PARCIAL,ESPACIOS AMPLIOS,585513,494,18,OESTE,9,
495,COVERTURA PARCIAL,GRANDE,107960,495,11,ESTE,18,
496,COVERTURA TOTAL,VISTA A LA MONTAÑA,309132,496,13,SUR,42,
497,COVERTURA PARCIAL,ACABADOS EN MADERA,601991,497,13,OESTE,17,
498,COVERTURA PARCIAL,ESPACIOS AMPLIOS,564570,498,4,SUR,15,
499,COVERTURA TOTAL,COLONIAL,495063,499,5,ESTE,16,
500,COVERTURA PARCIAL,VISTA A LA MONTAÑA,357514,500,3,ESTE,23,
501,COVERTURA TOTAL,GRANDE,630731,501,14,ESTE,24,
502,COVERTURA TOTAL,ACABADOS EN MADERA,348764,502,13,NORTE,45,
503,COVERTURA TOTAL,VISTA A LA MONTAÑA,599896,503,17,OESTE,15,
504,COVERTURA PARCIAL,ACABADOS EN MADERA,247021,504,8,OESTE,40,
505,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,548989,505,17,SUR,43,
506,COVERTURA TOTAL,COLONIAL,348077,506,10,NORTE,28,
507,COVERTURA TOTAL,GRANDE,114374,507,1,NORTE,19,
508,COVERTURA PARCIAL,ACABADOS EN MADERA,343868,508,12,NORTE,9,
509,COVERTURA PARCIAL,COLONIAL,409654,509,13,NORTE,46,
510,COVERTURA TOTAL,ACABADOS EN MADERA,446935,510,8,SUR,3,
511,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,683546,511,18,ESTE,9,
512,COVERTURA TOTAL,ACABADOS EN MADERA,376099,512,6,ESTE,32,
513,COVERTURA PARCIAL,GRANDE,673174,513,9,NORTE,47,
514,COVERTURA TOTAL,ESPACIOS AMPLIOS,109388,514,7,ESTE,32,
515,COVERTURA TOTAL,ACABADOS EN MADERA,642802,515,15,SUR,18,
516,COVERTURA PARCIAL,VISTA A LA MONTAÑA,277478,516,5,OESTE,12,
517,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,283395,517,13,ESTE,6,
518,COVERTURA PARCIAL,VISTA A LA MONTAÑA,620394,518,5,ESTE,1,
519,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,656099,519,6,NORTE,4,
520,COVERTURA TOTAL,ESPACIOS AMPLIOS,430955,520,1,OESTE,9,
521,COVERTURA TOTAL,ESPACIOS AMPLIOS,667864,521,3,ESTE,29,
522,COVERTURA TOTAL,ACABADOS EN MADERA,184917,522,16,OESTE,25,
523,COVERTURA TOTAL,COLONIAL,405489,523,8,NORTE,46,
524,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,316969,524,15,NORTE,8,
525,COVERTURA TOTAL,GRANDE,298722,525,7,NORTE,9,
526,COVERTURA PARCIAL,GRANDE,558069,526,8,SUR,9,
527,COVERTURA TOTAL,COLONIAL,454375,527,6,NORTE,45,
528,COVERTURA PARCIAL,COLONIAL,626553,528,2,NORTE,12,
529,COVERTURA TOTAL,ESPACIOS AMPLIOS,470732,529,4,NORTE,14,
530,COVERTURA TOTAL,VISTA A LA MONTAÑA,125011,530,4,NORTE,14,
531,COVERTURA PARCIAL,GRANDE,617290,531,2,SUR,22,
532,COVERTURA PARCIAL,ESPACIOS AMPLIOS,661952,532,6,SUR,20,
533,COVERTURA TOTAL,ACABADOS EN MADERA,378595,533,11,NORTE,50,
534,COVERTURA TOTAL,VISTA A LA MONTAÑA,259484,534,16,OESTE,28,
535,COVERTURA TOTAL,ACABADOS EN MADERA,187375,535,6,NORTE,28,
536,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,305598,536,13,OESTE,17,
537,COVERTURA TOTAL,COLONIAL,342651,537,1,ESTE,34,
538,COVERTURA PARCIAL,GRANDE,364538,538,13,ESTE,37,
539,COVERTURA TOTAL,COLONIAL,333428,539,1,ESTE,15,
540,COVERTURA PARCIAL,ACABADOS EN MADERA,521214,540,18,SUR,13,
541,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,223097,541,11,NORTE,43,
542,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,554194,542,18,OESTE,30,
543,COVERTURA PARCIAL,GRANDE,431764,543,12,ESTE,30,
544,COVERTURA PARCIAL,VISTA A LA MONTAÑA,429346,544,4,NORTE,17,
545,COVERTURA TOTAL,GRANDE,194291,545,6,SUR,11,
546,COVERTURA PARCIAL,ACABADOS EN MADERA,649127,546,15,SUR,2,
547,COVERTURA TOTAL,VISTA A LA MONTAÑA,600859,547,8,ESTE,40,
548,COVERTURA TOTAL,GRANDE,379410,548,16,NORTE,33,
549,COVERTURA PARCIAL,ACABADOS EN MADERA,682426,549,18,OESTE,28,
550,COVERTURA PARCIAL,ESPACIOS AMPLIOS,356370,550,4,SUR,1,
551,COVERTURA TOTAL,VISTA A LA MONTAÑA,614210,551,14,OESTE,3,
552,COVERTURA PARCIAL,ACABADOS EN MADERA,102602,552,6,ESTE,24,
553,COVERTURA PARCIAL,ESPACIOS AMPLIOS,141760,553,12,ESTE,27,
554,COVERTURA PARCIAL,VISTA A LA MONTAÑA,291811,554,17,OESTE,6,
555,COVERTURA PARCIAL,ESPACIOS AMPLIOS,243548,555,11,NORTE,32,
556,COVERTURA PARCIAL,ACABADOS EN MADERA,132101,556,14,ESTE,41,
557,COVERTURA PARCIAL,GRANDE,332509,557,16,ESTE,38,
558,COVERTURA TOTAL,GRANDE,482271,558,3,NORTE,45,
559,COVERTURA PARCIAL,VISTA A LA MONTAÑA,487926,559,3,SUR,5,
560,COVERTURA TOTAL,GRANDE,362834,560,13,SUR,18,
561,COVERTURA PARCIAL,COLONIAL,233076,561,1,ESTE,5,
562,COVERTURA TOTAL,VISTA A LA MONTAÑA,608607,562,2,OESTE,44,
563,COVERTURA TOTAL,ESPACIOS AMPLIOS,533893,563,2,OESTE,42,
564,COVERTURA PARCIAL,ACABADOS EN MADERA,194041,564,12,OESTE,9,
565,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,121851,565,10,SUR,36,
566,COVERTURA PARCIAL,ACABADOS EN MADERA,204874,566,7,SUR,11,
567,COVERTURA PARCIAL,VISTA A LA MONTAÑA,611712,567,5,ESTE,14,
568,COVERTURA TOTAL,ESPACIOS AMPLIOS,375826,568,7,ESTE,13,
569,COVERTURA PARCIAL,ACABADOS EN MADERA,681312,569,2,NORTE,1,
570,COVERTURA TOTAL,VISTA A LA MONTAÑA,535351,570,12,OESTE,43,
571,COVERTURA PARCIAL,COLONIAL,198423,571,2,ESTE,4,
572,COVERTURA TOTAL,ESPACIOS AMPLIOS,231274,572,18,ESTE,2,
573,COVERTURA PARCIAL,ACABADOS EN MADERA,388751,573,13,SUR,13,
574,COVERTURA TOTAL,GRANDE,210282,574,15,ESTE,1,
575,COVERTURA PARCIAL,VISTA A LA MONTAÑA,371395,575,7,NORTE,12,
576,COVERTURA TOTAL,VISTA A LA MONTAÑA,248923,576,15,OESTE,19,
577,COVERTURA PARCIAL,ESPACIOS AMPLIOS,488857,577,6,ESTE,3,
578,COVERTURA TOTAL,ESPACIOS AMPLIOS,229746,578,15,OESTE,30,
579,COVERTURA TOTAL,GRANDE,525252,579,2,OESTE,21,
580,COVERTURA TOTAL,COLONIAL,347183,580,4,SUR,1,
581,COVERTURA TOTAL,COLONIAL,386743,581,12,OESTE,6,
582,COVERTURA PARCIAL,COLONIAL,131492,582,15,ESTE,34,
583,COVERTURA TOTAL,ACABADOS EN MADERA,633905,583,7,ESTE,34,
584,COVERTURA TOTAL,ACABADOS EN MADERA,338745,584,16,NORTE,30,
585,COVERTURA PARCIAL,VISTA A LA MONTAÑA,546996,585,4,ESTE,1,
586,COVERTURA TOTAL,GRANDE,375039,586,16,SUR,30,
587,COVERTURA TOTAL,ESPACIOS AMPLIOS,375409,587,5,OESTE,25,
588,COVERTURA PARCIAL,COLONIAL,407609,588,11,SUR,8,
589,COVERTURA TOTAL,COLONIAL,186674,589,15,NORTE,47,
590,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,419940,590,10,SUR,12,
591,COVERTURA PARCIAL,ACABADOS EN MADERA,103376,591,6,OESTE,10,
592,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,344689,592,10,SUR,45,
593,COVERTURA PARCIAL,VISTA A LA MONTAÑA,271307,593,16,SUR,16,
594,COVERTURA PARCIAL,ESPACIOS AMPLIOS,369016,594,15,NORTE,21,
595,COVERTURA TOTAL,GRANDE,221749,595,9,NORTE,38,
596,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,566481,596,10,ESTE,26,
597,COVERTURA TOTAL,ESPACIOS AMPLIOS,454432,597,16,NORTE,3,
598,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,143393,598,4,SUR,46,
599,COVERTURA PARCIAL,VISTA A LA MONTAÑA,325112,599,1,SUR,15,
600,COVERTURA TOTAL,COLONIAL,672899,600,6,SUR,10,
601,COVERTURA TOTAL,VISTA A LA MONTAÑA,566519,601,11,SUR,21,
602,COVERTURA PARCIAL,ACABADOS EN MADERA,495265,602,9,ESTE,8,
603,COVERTURA PARCIAL,VISTA A LA MONTAÑA,579801,603,7,ESTE,33,
604,COVERTURA PARCIAL,COLONIAL,465500,604,13,OESTE,20,
605,COVERTURA PARCIAL,GRANDE,382981,605,4,ESTE,13,
606,COVERTURA PARCIAL,ACABADOS EN MADERA,640411,606,13,OESTE,39,
607,COVERTURA TOTAL,ACABADOS EN MADERA,101139,607,2,OESTE,42,
608,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,214376,608,3,OESTE,8,
609,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,525396,609,8,OESTE,8,
610,COVERTURA TOTAL,ACABADOS EN MADERA,212201,610,9,SUR,29,
611,COVERTURA TOTAL,COLONIAL,245783,611,1,NORTE,44,
612,COVERTURA PARCIAL,ACABADOS EN MADERA,677721,612,8,NORTE,4,
613,COVERTURA TOTAL,COLONIAL,672263,613,17,NORTE,22,
614,COVERTURA TOTAL,COLONIAL,688030,614,10,NORTE,11,
615,COVERTURA TOTAL,ESPACIOS AMPLIOS,203165,615,9,SUR,29,
616,COVERTURA TOTAL,VISTA A LA MONTAÑA,663444,616,17,ESTE,16,
617,COVERTURA TOTAL,ESPACIOS AMPLIOS,158529,617,14,SUR,42,
618,COVERTURA PARCIAL,ESPACIOS AMPLIOS,223270,618,6,OESTE,41,
619,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,625692,619,7,SUR,44,
620,COVERTURA PARCIAL,ACABADOS EN MADERA,607072,620,5,ESTE,17,
621,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,628972,621,6,OESTE,21,
622,COVERTURA PARCIAL,COLONIAL,636543,622,11,OESTE,10,
623,COVERTURA PARCIAL,VISTA A LA MONTAÑA,158050,623,6,ESTE,18,
624,COVERTURA PARCIAL,ESPACIOS AMPLIOS,576756,624,15,OESTE,32,
625,COVERTURA TOTAL,ACABADOS EN MADERA,660958,625,10,ESTE,12,
626,COVERTURA TOTAL,ESPACIOS AMPLIOS,438683,626,3,SUR,43,
627,COVERTURA TOTAL,COLONIAL,405063,627,13,NORTE,37,
628,COVERTURA TOTAL,GRANDE,174051,628,15,NORTE,20,
629,COVERTURA TOTAL,ESPACIOS AMPLIOS,624094,629,13,SUR,13,
630,COVERTURA TOTAL,COLONIAL,317021,630,13,ESTE,30,
631,COVERTURA TOTAL,ESPACIOS AMPLIOS,612803,631,10,ESTE,26,
632,COVERTURA PARCIAL,COLONIAL,512687,632,6,ESTE,50,
633,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,449164,633,18,NORTE,35,
634,COVERTURA TOTAL,VISTA A LA MONTAÑA,306741,634,12,SUR,13,
635,COVERTURA TOTAL,GRANDE,265448,635,18,NORTE,14,
636,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,624048,636,11,ESTE,17,
637,COVERTURA TOTAL,COLONIAL,145319,637,6,OESTE,11,
638,COVERTURA TOTAL,ESPACIOS AMPLIOS,241632,638,10,ESTE,6,
